Underlying,Date,T,r,E,Cobs,volatility,Delta,Vega,Gamma
0.32188,2023-08-21,0.3492063492063492,0.0005,0.25,0.07791,0.42895648431651723,0.8695785174543926,0.0403283774570572,2.598527967196352
0.32245999999999997,2023-08-22,0.34523809523809523,0.0005,0.25,0.07759999999999999,0.41046577922908184,0.8803264522287257,0.03782848636051966,2.567270304705157
0.33355,2023-09-05,0.2896825396825397,0.0005,0.25,0.08625,0.40301123142573514,0.9248391182764522,0.025454131851987864,1.9597331117222003
0.32991000000000004,2023-09-07,0.28174603174603174,0.0005,0.25,0.08495,0.47710548705225314,0.8892205284661753,0.03309506237514395,2.262038670936842
0.33426999999999996,2023-09-08,0.2777777777777778,0.0005,0.25,0.0892,0.4916413211292848,0.8945621447558771,0.03213165095220981,2.105679948571866
0.3387,2023-09-14,0.25396825396825395,0.0005,0.25,0.0917,0.4591334868088534,0.9234390656376379,0.02454399770860215,1.8348328465883892
0.31953,2023-09-21,0.2261904761904762,0.0005,0.25,0.074,0.4737905057514382,0.8853536610441699,0.02943256974676302,2.6899501667566943
0.31701,2023-09-22,0.2222222222222222,0.0005,0.25,0.07189,0.4817099842102913,0.8769335733463145,0.030428981662120016,2.8285793084703372
0.31754000000000004,2023-09-25,0.21031746031746032,0.0005,0.25,0.06843,0.3179463851123777,0.9567090149609763,0.013379121819359185,1.9842733826636216
0.31214,2023-09-26,0.20634920634920634,0.0005,0.25,0.0639,0.355096416787806,0.9275122840646246,0.019555405001379228,2.739169264689162
0.31575,2023-09-29,0.19444444444444445,0.0005,0.25,0.068,0.4043309143744631,0.9191348273357718,0.020868100312848737,2.662341182252246
0.31339,2023-10-03,0.17857142857142858,0.0005,0.25,0.06664,0.4578832023569743,0.897092208066063,0.023731833791116052,2.9552508077635644
0.31936000000000003,2023-10-05,0.17063492063492064,0.0005,0.25,0.0708,0.3998941766809259,0.941256380733114,0.015456268281692645,2.2209082299640057
0.33242,2023-10-11,0.14682539682539683,0.0005,0.25,0.08327,0.4329064809847697,0.9641578347609336,0.010036140462048867,1.4288846463423253
0.32667,2023-10-20,0.1111111111111111,0.0005,0.25,0.07845999999999999,0.5573918801788996,0.9373476105272025,0.013417168285194656,2.030131797524371
0.32298000000000004,2023-08-25,0.3333333333333333,0.0005,0.255,0.07385,0.41457966454221984,0.8660070706840685,0.0402790657014362,2.794096406561678
0.3237,2023-08-28,0.32142857142857145,0.0005,0.255,0.0729,0.3798953534395326,0.8880129346013328,0.03495376588214046,2.731870537844069
0.33022,2023-09-15,0.25,0.0005,0.255,0.07975,0.4650696173993015,0.8903604612232872,0.030973497634656604,2.443011588174668
0.32077,2023-09-20,0.23015873015873015,0.0005,0.255,0.07504000000000001,0.5836967016737771,0.8314338075867693,0.038730986296399456,2.801924161754787
0.31701,2023-09-22,0.2222222222222222,0.0005,0.255,0.06527,0.39808163454932755,0.8951429663835231,0.0271467283219353,3.0535985745413137
0.31754000000000004,2023-09-25,0.21031746031746032,0.0005,0.255,0.0636,0.3076325849166975,0.94802435619881,0.015489635926211762,2.374305866904924
0.31364,2023-09-28,0.1984126984126984,0.0005,0.255,0.06269,0.43638969678718226,0.8774871534647706,0.028357225214985345,3.3293303530116827
0.31339,2023-10-03,0.17857142857142858,0.0005,0.255,0.060700000000000004,0.38770816768745886,0.9100303529296536,0.021500235865016804,3.1619575294277564
0.32932,2023-10-23,0.0992063492063492,0.0005,0.255,0.07526000000000001,0.4926258983272459,0.957851268676257,0.009325917799470835,1.7595380462989023
0.32788999999999996,2023-10-26,0.0873015873015873,0.0005,0.255,0.07393999999999999,0.530411009099925,0.9537998316504583,0.009379451460281466,1.8840239836871007
